2.000,B,[1, 5, 6, 2, 8, 0, 4, 9, 7, 3]
7.792,2,1959.855,17.827,12,PE
13.636,6,1869.804,18.717,12,PE
24.473,3,2284.122,15.229,12,PE
57.484,9,1964.590,17.783,12,PE
81.601,1,1363.104,26.115,12,PE
92.380,5,1340.018,26.600,12,PE
95.928,0,1583.919,22.260,12,PC
96.471,7,1721.668,20.396,12,PC
104.363,8,1389.955,25.574,12,PC
105.480,4,1583.895,22.260,12,PC
122.000,B,[1, 5, 6, 2, 8, 0, 4, 9, 7, 3]
136.126,3,1523.860,23.187,12,PE
150.244,4,1309.498,27.270,12,PE
162.919,7,1294.611,27.611,12,PE
171.066,9,1206.621,29.819,12,PE
179.403,2,963.305,38.525,12,PE
187.537,1,771.850,51.019,12,PE
194.028,0,991.299,37.248,12,PE
223.202,6,806.847,48.042,12,PE
225.894,8,710.029,57.676,12,PE
231.949,5,650.279,67.321,12,PE
242.000,B,[1, 5, 6, 8, 2, 0, 4, 9, 7, 3]
265.088,6,798.251,48.733,12,PE
267.751,9,699.254,59.099,12,PE
272.836,2,801.332,48.483,12,PE
285.449,4,777.491,50.508,12,PE
299.007,1,749.158,53.216,12,PE
309.961,7,670.858,63.429,12,PC
311.184,8,659.136,65.544,12,PC
319.116,5,783.160,50.007,12,PE
323.669,0,736.929,54.507,12,PE
336.628,3,651.463,67.073,12,PE
362.000,B,[]
482.000,B,[]
