2.000,B,[1, 2, 0, 4, 3]
2.695,1,1888.542,18.524,10,PE
44.691,3,2146.152,16.235,10,PE
55.631,0,1847.695,18.949,10,PE
77.327,2,1511.915,23.381,9,PE
88.247,4,1692.083,20.768,10,PE
122.000,B,[1, 2, 0, 4, 3]
153.376,2,1082.043,33.677,8,PE
169.300,3,1310.453,27.249,9,PE
204.884,4,1020.135,36.026,8,PE
209.425,1,695.208,59.661,7,PE
213.007,0,898.530,41.894,8,PE
242.000,B,[1, 2, 0, 4, 3]
264.398,0,724.843,55.870,7,PE
303.306,1,764.699,51.686,7,PE
305.034,4,776.844,50.566,8,PE
319.504,2,919.287,40.744,8,PE
333.374,3,649.161,67.559,7,PE
362.000,B,[]
482.000,B,[]
