2.000,B,[1, 5, 6, 2, 8, 0, 4, 9, 7, 3]
5.779,7,2339.493,14.860,dr11,PE,#27,#27,#3,#3
6.459,6,1915.617,18.253,dr10,PE,#27,#27,#3,#3
12.038,1,1820.586,19.242,dr10,PE,#27,#27,#3,#3
16.852,4,2166.000,16.082,dr11,PE,#27,#27,#3,#3
18.439,3,2325.613,14.951,dr11,PE,#27,#27,#3,#3
63.783,8,1662.738,21.152,dr10,PE,#27,#27,#3,#3
65.540,2,1586.431,22.223,dr10,PE,#27,#27,#3,#3
84.675,9,1780.099,19.698,dr10,PE,#27,#27,#3,#3
92.547,5,1340.018,26.600,dr10,PE,#27,#27,#3,#3
97.465,0,1570.944,22.454,dr10,PE,#27,#27,#3,#3
122.000,B,[]
159.394,2,1052.841,34.742,dr9,PE,#27,#27,#3,#3
168.942,5,889.956,42.391,dr9,PE,#27,#27,#3,#3
182.568,6,918.736,40.774,dr9,PE,#27,#27,#3,#3
191.525,4,1083.994,33.608,dr10,PE,#27,#27,#3,#3
198.303,1,730.125,55.263,dr8,PE,#27,#27,#3,#3
204.523,8,800.495,48.550,dr9,PE,#27,#27,#3,#3
212.252,3,1049.349,34.875,dr9,PE,#27,#27,#3,#3
212.558,9,961.057,38.632,dr9,PE,#27,#27,#3,#3
213.221,0,898.530,41.894,dr9,PE,#27,#26,#3,#3
237.594,7,874.739,43.308,dr9,PE,#27,#27,#3,#3
242.000,B,[1, 5, 6, 2, 8, 0, 4, 9, 7, 3]
252.453,5,627.295,73.036,dr8,PE,#27,#27,#3,#3
260.348,7,777.661,50.493,dr9,PE,#27,#27,#3,#3
278.910,2,809.352,47.845,dr9,PE,#27,#27,#3,#3
286.633,9,643.035,68.919,dr8,PE,#27,#27,#3,#3
300.374,3,672.255,63.191,dr8,PE,#27,#27,#3,#3
301.428,1,756.828,52.446,dr8,PE,#27,#27,#3,#3
320.256,4,794.040,49.080,dr9,PE,#27,#27,#3,#3
321.930,6,953.233,39.009,dr9,PE,#27,#27,#3,#3
339.829,0,781.976,50.111,dr8,PE,#27,#27,#3,#3
349.654,8,809.124,47.863,dr9,PE,#27,#27,#3,#3
362.000,B,[1, 5, 6, 8, 2, 0, 4, 9, 7, 3]
482.000,B,[]
