3.419,3338,2417.981,14.368,dr11,PE,#27,#26,#3,#1
3.446,592,2524.847,13.747,dr11,PE,#27,#25,#3,#1
3.448,3443,1991.524,17.534,dr10,PE,#27,#23,#3,#1
3.449,1653,2422.465,14.340,dr11,PE,#27,#24,#3,#1
3.460,339,1994.301,17.509,dr10,PE,#27,#23,#3,#1
3.467,2611,1927.673,18.135,dr10,PE,#27,#25,#3,#1
3.479,489,1853.561,18.887,dr10,PCp,#27,#23,#3,#1
3.524,167,1820.517,19.243,dr10,PE,#27,#22,#3,#1
3.549,1410,1981.099,17.630,dr10,PE,#27,#25,#3,#1
3.607,2736,1810.504,19.354,dr10,PCp,#27,#20,#3,#1
3.627,2832,1890.938,18.500,dr10,PCp,#27,#22,#3,#1
3.634,3475,2088.917,16.692,dr10,PE,#27,#21,#3,#1
3.676,2882,2505.299,13.857,dr11,PE,#27,#24,#3,#1
3.713,1597,1830.838,19.130,dr10,PE,#27,#23,#3,#1
3.749,2466,2560.873,13.550,dr11,PE,#27,#23,#3,#1
3.788,1364,2652.846,13.072,dr11,PCh,#27,#24,#3,#1
3.799,1149,2134.765,16.324,dr10,PCp,#27,#21,#3,#1
3.800,1105,2571.474,13.493,dr11,PE,#27,#25,#3,#1
3.817,1734,2211.320,15.743,dr11,PE,#27,#26,#3,#1
3.826,1828,2536.267,13.684,dr11,PE,#27,#23,#3,#1
3.838,514,2340.306,14.855,dr11,PE,#27,#25,#3,#1
3.839,69,2356.209,14.753,dr11,PE,#27,#22,#3,#1
3.844,2884,1774.168,19.766,dr10,PE,#27,#24,#3,#1
3.845,207,2139.542,16.286,dr10,PE,#27,#25,#3,#1
3.848,2833,2136.838,16.307,dr10,PE,#27,#25,#3,#1
3.894,3357,1834.019,19.096,dr10,PE,#27,#27,#3,#1
3.920,2567,1980.649,17.634,dr10,PCp,#27,#24,#3,#1
3.934,2588,2353.715,14.769,dr11,PCp,#27,#23,#3,#1
3.945,87,1975.492,17.681,dr10,PCp,#27,#24,#3,#1
