2.000,B,[2, 3, 1, 0, 4]
3.969,0,2198.832,15.835,11,PE
37.037,1,1652.148,21.295,10,PE
56.852,4,1900.185,18.407,11,PE
83.801,3,1879.165,18.620,8,PL
110.071,2,1314.469,27.159,7,PL
122.000,B,[2, 3, 1, 0, 4]
132.165,4,1416.739,25.056,11,PE
142.583,2,1137.941,31.821,7,PL
182.567,0,1054.987,34.662,11,PE
219.488,3,1009.624,36.461,8,PE
224.216,1,660.493,65.287,10,PE
242.000,B,[2, 3, 1, 0, 4]
304.153,2,868.892,43.672,7,PL
310.590,4,780.926,50.203,11,PE
316.575,0,722.264,56.173,11,PE
319.791,3,648.189,67.767,8,PE
323.575,1,853.212,44.686,10,PE
362.000,B,[]
482.000,B,[]
