2.663,982,2122.366,16.422,10,PE
2.676,766,1994.596,17.506,12,PC
2.865,1018,2163.571,16.100,12,PC
2.891,38,1986.670,17.579,12,PC
2.922,1313,1806.219,19.401,10,PC
3.178,902,1998.907,17.467,10,PE
3.188,623,2153.554,16.177,11,PC
3.222,800,2512.448,13.816,12,PC
3.235,591,2391.690,14.529,11,PC
3.240,247,2275.080,15.291,12,PC
3.319,894,2553.585,13.589,12,PC
3.328,378,2466.482,14.079,12,PC
3.469,1280,2324.345,14.960,12,PC
3.517,836,2372.340,14.650,12,PC
3.577,55,1860.120,18.818,10,PC
3.653,1372,2671.599,12.978,11,PC
3.766,92,2410.243,14.415,11,PC
3.898,1182,2417.816,14.369,11,PC
3.952,248,2682.506,12.925,12,PC
4.001,319,2417.605,14.370,12,PC
4.313,575,2015.588,17.318,12,PC
4.332,370,2582.269,13.436,12,PC
4.467,58,2110.569,16.516,12,PC
4.539,382,2093.361,16.656,10,PE
4.549,376,1851.460,18.909,11,PC
4.656,602,2182.566,15.956,11,PC
4.895,813,2049.151,17.026,10,PC
5.072,183,1989.207,17.555,10,PE
5.092,838,2024.364,17.241,12,PC
5.101,1228,1966.096,17.769,12,PC
5.159,130,1805.329,19.411,12,PC
5.484,1190,2345.774,14.820,11,PC
5.544,1304,1834.616,19.089,11,PC
5.552,646,2407.701,14.430,12,PC
5.682,1302,2225.404,15.641,12,PC
5.696,1019,1690.828,20.785,12,PC
5.917,574,2268.391,15.338,12,PC
6.150,244,1802.030,19.448,12,PC
6.373,554,2510.920,13.825,12,PC
6.380,470,1846.328,18.964,11,PC
6.516,478,2217.995,15.695,11,PC
6.653,864,1967.995,17.751,11,PC
6.706,442,2420.723,14.351,12,PC
6.881,492,2305.895,15.082,11,PC
6.964,1295,2057.794,16.952,12,PC
6.996,416,2243.592,15.511,11,PC
7.102,1142,1998.978,17.467,10,PC
7.169,520,2139.105,16.290,12,PC
7.308,834,2421.235,14.348,12,PC
7.382,586,2310.321,15.053,12,PC
7.426,796,2246.845,15.488,12,PC
7.471,16,2480.708,13.997,12,PC
7.556,846,1768.644,19.831,12,PC
7.572,89,1800.017,19.471,10,PC
7.648,153,2394.884,14.509,11,PC
7.877,534,2396.645,14.498,11,PC
8.085,1200,2364.535,14.700,11,PC
8.168,1102,2573.292,13.483,11,PC
8.232,1181,1869.508,18.720,11,PC
8.357,615,2423.649,14.333,12,PC
8.434,1196,2015.145,17.322,11,PC
8.548,425,2231.698,15.596,12,PC
8.594,668,1911.304,18.296,11,PC
8.657,837,2067.994,16.866,11,PC
8.716,626,2485.133,13.971,12,PC
8.724,535,2110.379,16.518,12,PC
8.810,184,2378.947,14.608,12,PC
