3.153,256,1822.672,19.219,dr11,PE,#27,#27,#2,#1
3.163,852,2476.227,14.023,dr11,PE,#27,#27,#2,#1
3.213,528,2298.298,15.133,dr11,PE,#27,#27,#2,#1
3.459,352,2061.584,16.920,dr8,PE,#27,#27,#3,#1
3.578,298,2290.529,15.186,dr10,PE,#27,#27,#3,#1
3.795,652,2588.156,13.405,dr8,PE,#27,#25,#3,#1
3.876,794,2627.332,13.201,dr8,PE,#27,#26,#3,#1
3.895,111,2092.382,16.664,dr8,PE,#27,#26,#3,#1
3.971,476,2497.277,13.902,dr9,PE,#27,#27,#2,#1
4.024,561,2646.084,13.106,dr10,PE,#27,#27,#3,#1
4.112,484,2077.299,16.788,dr11,PE,#27,#27,#2,#1
4.223,826,1856.035,18.861,dr11,PE,#27,#27,#2,#1
4.250,372,2621.088,13.233,dr8,PE,#27,#26,#3,#1
4.333,965,2213.668,15.726,dr11,PE,#27,#27,#2,#1
4.491,411,1758.714,19.947,dr8,PE,#27,#27,#3,#1
4.576,308,1906.527,18.343,dr10,PE,#27,#26,#3,#1
4.577,54,2458.652,14.125,dr10,PE,#27,#27,#3,#1
4.776,832,2332.282,14.907,dr8,PE,#27,#27,#3,#1
4.881,558,2446.693,14.195,dr9,PE,#27,#27,#2,#1
4.943,878,2246.668,15.490,dr11,PE,#27,#27,#2,#1
4.944,43,1933.175,18.082,dr10,PE,#27,#26,#3,#1
5.112,839,2356.113,14.753,dr11,PE,#27,#27,#2,#1
5.378,788,2714.353,12.771,dr8,PE,#27,#27,#3,#1
5.399,474,2074.934,16.808,dr10,PE,#27,#26,#3,#1
5.471,963,2190.883,15.894,dr8,PE,#27,#27,#3,#1
5.493,901,1961.667,17.810,dr11,PE,#27,#27,#2,#1
5.612,772,2467.202,14.075,dr10,PE,#27,#27,#3,#1
5.883,9,2323.635,14.964,dr8,PE,#27,#25,#3,#1
5.977,773,2151.283,16.195,dr10,PE,#27,#27,#3,#1
6.035,830,2461.359,14.109,dr9,PE,#27,#27,#2,#1
6.044,579,2606.152,13.310,dr11,PE,#27,#26,#2,#1
6.139,654,2407.337,14.432,dr8,PE,#27,#26,#3,#1
6.155,70,1687.680,20.825,dr10,PE,#27,#27,#3,#1
6.434,817,2673.990,12.967,dr8,PE,#27,#26,#3,#1
6.462,276,1970.615,17.726,dr11,PE,#27,#26,#2,#1
6.480,631,2176.939,15.999,dr8,PE,#27,#27,#3,#1
6.673,527,2553.782,13.588,dr9,PE,#27,#27,#2,#1
6.677,399,2166.159,16.081,dr9,PE,#27,#27,#2,#1
6.746,659,1811.761,19.340,dr9,PE,#27,#27,#2,#1
6.838,580,2589.809,13.396,dr9,PE,#27,#26,#2,#1
6.866,166,2008.237,17.384,dr8,PE,#27,#27,#3,#1
7.027,493,2318.336,14.999,dr11,PE,#27,#26,#2,#1
7.100,761,2099.593,16.605,dr9,PE,#27,#26,#2,#1
7.215,749,1776.816,19.736,dr11,PE,#27,#27,#2,#1
7.247,633,2461.533,14.108,dr11,PE,#27,#27,#2,#1
7.352,390,2272.297,15.311,dr10,PE,#27,#27,#3,#1
7.444,551,2473.572,14.038,dr11,PE,#27,#27,#2,#1
7.484,574,2254.523,15.434,dr10,PE,#27,#27,#3,#1
7.733,60,2005.502,17.408,dr10,PE,#27,#27,#3,#1
7.748,277,1967.577,17.755,dr10,PE,#27,#27,#3,#1
7.852,294,2366.858,14.685,dr9,PE,#27,#27,#2,#1
8.192,517,2545.176,13.635,dr11,PE,#27,#27,#2,#1
8.238,614,2104.629,16.564,dr10,PE,#27,#27,#3,#1
8.244,569,2345.234,14.823,dr9,PE,#27,#26,#2,#1
8.320,552,2473.781,14.037,dr9,PE,#27,#26,#2,#1
8.508,184,2378.947,14.608,dr10,PE,#27,#26,#3,#1
8.516,313,2188.022,15.916,dr10,PE,#27,#27,#3,#1
8.579,136,1756.115,19.978,dr8,PE,#27,#27,#3,#1
8.665,608,1964.354,17.785,dr8,PE,#27,#27,#3,#1
