7.755,3,2401.776,14.467,dr9,PE,#27,#27,#2,#1
24.592,4,2112.454,16.501,dr11,PE,#27,#27,#2,#1
28.993,0,2029.172,17.199,dr8,PE,#27,#27,#3,#1
104.243,1,1217.876,29.516,dr10,PE,#27,#27,#3,#1
106.247,2,1337.704,26.649,dr9,PE,#27,#27,#2,#1
127.053,3,1583.317,22.269,dr9,PE,#27,#27,#2,#1
138.549,1,1015.553,36.215,dr10,PE,#27,#27,#3,#1
140.777,4,1368.594,26.002,dr11,PE,#27,#27,#2,#1
172.688,0,1110.482,32.704,dr8,PE,#27,#27,#3,#1
185.436,2,939.148,39.708,dr9,PE,#27,#27,#2,#1
258.236,0,737.752,54.418,dr8,PE,#27,#27,#3,#1
311.938,1,798.082,48.747,dr10,PE,#27,#27,#3,#1
312.000,4,781.943,50.114,dr11,PE,#27,#27,#2,#1
317.077,3,649.367,67.514,dr9,PE,#27,#27,#2,#1
335.150,2,983.549,37.592,dr9,PE,#27,#27,#2,#1
