3.150,2800,1737.653,20.200,dr9,PE,#27,#23,#2,#1
3.166,1363,2357.964,14.741,dr11,PE,#27,#27,#2,#1
3.175,2416,2541.949,13.653,dr9,PE,#27,#25,#2,#1
3.297,2180,1910.748,18.301,dr11,PE,#27,#26,#2,#1
3.302,1534,2550.495,13.606,dr9,PE,#27,#26,#2,#1
3.390,3001,1881.734,18.594,dr10,PE,#27,#27,#3,#1
3.403,1233,1923.102,18.180,dr11,PE,#27,#27,#2,#1
3.441,2466,2560.873,13.550,dr10,PE,#27,#27,#3,#1
3.456,533,1955.823,17.865,dr8,PCp,#27,#24,#3,#1
3.480,919,2733.349,12.680,dr8,PE,#27,#26,#3,#1
3.500,329,1758.900,19.945,dr9,PE,#27,#25,#2,#1
3.539,387,2460.377,14.115,dr9,PE,#27,#22,#2,#1
3.648,2366,2212.578,15.734,dr11,PE,#27,#26,#2,#1
3.649,2585,1727.087,20.329,dr9,PE,#27,#25,#2,#1
3.655,1820,2481.513,13.992,dr10,PE,#27,#24,#3,#1
3.703,367,2016.688,17.309,dr11,PE,#27,#25,#2,#1
3.709,342,1926.190,18.149,dr10,PE,#27,#25,#3,#1
3.764,1453,1966.438,17.765,dr9,PCp,#27,#25,#2,#1
3.767,2174,1949.442,17.926,dr10,PE,#27,#22,#3,#1
3.772,2272,2481.122,13.994,dr11,PE,#27,#26,#2,#1
3.792,3283,2363.195,14.708,dr9,PE,#27,#23,#2,#1
3.807,2251,2167.238,16.072,dr11,PE,#27,#24,#2,#1
3.853,245,1844.069,18.988,dr11,PE,#27,#24,#2,#1
3.873,274,2066.210,16.881,dr9,PE,#27,#26,#2,#1
3.906,1688,1990.063,17.548,dr9,PE,#27,#25,#2,#1
3.923,2896,2339.881,14.858,dr11,PE,#27,#26,#2,#1
3.929,2294,2627.332,13.201,dr11,PE,#27,#25,#2,#1
3.947,2491,1960.575,17.820,dr9,PE,#27,#24,#2,#1
4.025,2684,1832.697,19.110,dr11,PE,#27,#25,#2,#1
4.061,651,1928.026,18.132,dr8,PE,#27,#25,#3,#1
4.066,2245,2220.494,15.677,dr11,PE,#27,#27,#2,#1
4.069,1933,2026.216,17.225,dr8,PE,#27,#26,#3,#1
4.082,1157,2668.812,12.992,dr9,PE,#27,#23,#2,#1
4.116,2394,2546.620,13.627,dr8,PE,#27,#26,#3,#1
4.135,682,2510.161,13.829,dr9,PE,#27,#24,#2,#1
4.186,2590,2672.431,12.974,dr9,PE,#27,#22,#2,#1
4.233,839,2362.981,14.709,dr11,PE,#27,#24,#2,#1
4.265,3324,2498.434,13.895,dr9,PE,#27,#26,#2,#1
4.280,1665,2154.436,16.170,dr8,PE,#27,#26,#3,#1
4.350,98,2551.971,13.598,dr9,PE,#27,#25,#2,#1
4.401,47,2296.819,15.143,dr11,PE,#27,#26,#2,#1
4.414,1210,2061.315,16.922,dr11,PE,#27,#23,#2,#1
4.423,1395,1941.561,18.001,dr8,PCp,#27,#26,#3,#1
4.573,2662,2593.608,13.376,dr8,PE,#27,#25,#3,#1
4.577,3144,2428.078,14.307,dr11,PE,#27,#26,#2,#1
4.617,1750,1721.446,20.398,dr11,PCh,#27,#27,#2,#1
4.642,1617,2030.189,17.190,dr9,PE,#27,#22,#2,#1
4.692,1967,2339.978,14.857,dr9,PE,#27,#23,#2,#1
4.722,1469,1676.879,20.966,dr9,PCh,#27,#23,#2,#1
4.747,3085,2026.860,17.219,dr11,PE,#27,#26,#2,#1
4.808,2246,2558.643,13.562,dr10,PE,#27,#24,#3,#1
4.817,3151,2315.707,15.017,dr8,PCp,#27,#22,#3,#1
4.863,1455,2252.509,15.448,dr11,PE,#27,#24,#2,#1
4.882,550,2278.892,15.265,dr10,PE,#27,#26,#3,#1
4.889,1860,2373.015,14.646,dr9,PE,#27,#25,#2,#1
4.923,1672,2218.739,15.689,dr10,PE,#27,#24,#3,#1
4.969,51,2285.852,15.218,dr8,PE,#27,#26,#3,#1
5.006,2631,2326.662,14.944,dr9,PE,#27,#25,#2,#1
5.075,1702,1962.715,17.800,dr8,PE,#27,#26,#3,#1
5.077,3204,1897.356,18.435,dr8,PE,#27,#27,#3,#1
5.081,3410,2322.431,14.972,dr8,PE,#27,#23,#3,#1
5.210,1070,2150.154,16.203,dr11,PE,#27,#25,#2,#1
5.215,2734,2189.645,15.903,dr9,PE,#27,#24,#2,#1
5.248,291,2645.183,13.110,dr9,PE,#27,#24,#2,#1
5.256,1454,2096.060,16.634,dr8,PE,#27,#23,#3,#1
5.285,346,2109.200,16.527,dr9,PE,#27,#26,#2,#1
5.352,935,2446.027,14.199,dr9,PE,#27,#24,#2,#1
5.362,2521,1846.437,18.963,dr10,PE,#27,#27,#3,#1
5.364,2898,2543.137,13.646,dr11,PE,#27,#26,#2,#1
5.386,2924,2411.484,14.407,dr10,PE,#27,#26,#3,#1
5.419,1132,1818.901,19.261,dr9,PCp,#27,#24,#2,#1
5.503,499,1844.675,18.981,dr9,PE,#27,#24,#2,#1
5.550,1044,2175.659,16.008,dr8,PCp,#27,#25,#3,#1
5.574,1531,2592.034,13.384,dr10,PCp,#27,#25,#3,#1
5.575,1552,2382.352,14.587,dr8,PE,#27,#23,#3,#1
5.599,1465,2060.413,16.930,dr8,PCp,#27,#23,#3,#1
5.675,534,2410.524,14.413,dr8,PE,#27,#25,#3,#1
5.716,2081,2539.439,13.667,dr8,PCp,#27,#19,#3,#1
5.730,1955,2206.541,15.778,dr8,PCp,#27,#19,#3,#1
5.741,640,1922.544,18.185,dr11,PE,#27,#27,#2,#1
5.791,2989,2732.609,12.684,dr11,PE,#27,#27,#2,#1
5.814,2356,1832.008,19.118,dr9,PCh,#27,#24,#2,#1
5.852,1590,2281.639,15.246,dr8,PE,#27,#25,#3,#1
5.898,2198,2288.126,15.202,dr9,PE,#27,#25,#2,#1
5.947,3339,1981.279,17.628,dr9,PE,#27,#20,#2,#1
5.956,287,2118.178,16.455,dr9,PE,#27,#22,#2,#1
5.969,2703,2100.136,16.600,dr9,PCh,#27,#24,#2,#1
5.970,307,2112.830,16.498,dr10,PE,#27,#25,#3,#1
5.990,1323,2233.940,15.580,dr9,PE,#27,#25,#2,#1
6.030,2727,2196.071,15.856,dr10,PE,#27,#26,#3,#1
6.044,2869,2171.575,16.039,dr8,PE,#27,#24,#3,#1
6.123,678,2125.689,16.395,dr8,PE,#27,#25,#3,#1
6.149,2315,1835.745,19.077,dr11,PE,#27,#25,#2,#1
6.156,2832,1870.661,18.708,dr9,PE,#27,#23,#2,#1
6.170,416,2243.592,15.511,dr9,PE,#27,#25,#2,#1
6.171,2451,2156.730,16.153,dr10,PE,#27,#24,#3,#1
6.173,2579,2432.624,14.279,dr11,PE,#27,#26,#2,#1
6.180,1935,1742.431,20.142,dr11,PE,#27,#27,#2,#1
6.209,918,1959.227,17.833,dr10,PE,#27,#26,#3,#1
6.239,3027,1844.642,18.982,dr11,PE,#27,#23,#2,#1
6.250,1687,2291.585,15.179,dr9,PE,#27,#24,#2,#1
