3.148,2159,1832.216,19.115,dr9,PE,#27,#27,#2,#1
3.164,3114,1801.838,19.451,dr9,PE,#27,#25,#2,#1
3.183,1155,1793.608,19.543,dr11,PE,#27,#24,#2,#1
3.196,1416,2328.782,14.930,dr9,PE,#27,#23,#2,#1
3.222,1302,2239.214,15.542,dr9,PCp,#27,#25,#2,#1
3.241,4284,1936.759,18.047,dr11,PE,#27,#24,#2,#1
3.332,572,1754.997,19.992,dr9,PE,#27,#23,#2,#1
3.361,2524,2230.607,15.604,dr11,PE,#27,#26,#2,#1
3.393,4197,2539.163,13.668,dr9,PE,#27,#26,#2,#1
3.404,2455,1814.305,19.312,dr10,PE,#27,#26,#3,#1
3.418,966,2560.873,13.550,dr9,PCh,#27,#25,#2,#1
3.421,4149,2134.765,16.324,dr10,PE,#27,#26,#3,#1
3.422,3004,2253.337,15.443,dr10,PE,#27,#26,#3,#1
3.494,2303,2439.263,14.240,dr10,PE,#27,#26,#3,#1
3.524,3806,2034.871,17.149,dr11,PE,#27,#27,#2,#1
3.654,3986,1790.727,19.576,dr9,PCh,#27,#25,#2,#1
3.672,437,1932.914,18.084,dr10,PE,#27,#24,#3,#1
3.683,2070,2248.072,15.480,dr8,PCp,#27,#25,#3,#1
3.683,2830,2487.004,13.961,dr10,PE,#27,#26,#3,#1
3.719,3193,2337.568,14.873,dr11,PE,#27,#26,#2,#1
3.723,3430,1849.298,18.932,dr9,PE,#27,#27,#2,#1
3.806,3371,2491.209,13.937,dr11,PCh,#27,#26,#2,#1
3.842,1757,2138.928,16.291,dr11,PE,#27,#27,#2,#1
3.873,3502,2073.810,16.817,dr8,PE,#27,#27,#3,#1
3.929,1624,1995.584,17.497,dr9,PE,#27,#23,#2,#1
3.934,259,1824.808,19.196,dr10,PE,#27,#25,#3,#1
3.969,4039,2662.441,13.024,dr11,PE,#27,#27,#2,#1
4.003,90,2288.465,15.200,dr9,PCh,#27,#24,#2,#1
4.008,3515,1782.954,19.665,dr10,PE,#27,#27,#3,#1
4.022,843,1962.122,17.806,dr11,PE,#27,#26,#2,#1
4.034,2968,2536.882,13.681,dr8,PE,#27,#24,#3,#1
4.046,1077,1774.726,19.760,dr10,PE,#27,#27,#3,#1
4.107,1183,1873.548,18.678,dr11,PE,#27,#25,#2,#1
4.134,3509,2424.801,14.326,dr11,PE,#27,#27,#2,#1
4.157,120,2654.483,13.064,dr8,PE,#27,#25,#3,#1
4.168,2221,1879.660,18.615,dr10,PE,#27,#25,#3,#1
4.199,33,2377.410,14.618,dr8,PE,#27,#24,#3,#1
4.254,2110,2505.856,13.853,dr9,PCh,#27,#24,#2,#1
4.271,501,2098.967,16.610,dr10,PE,#27,#26,#3,#1
4.309,2349,2421.790,14.344,dr9,PE,#27,#25,#2,#1
4.344,3765,2384.106,14.576,dr10,PE,#27,#25,#3,#1
4.381,4372,2664.634,13.013,dr11,PCh,#27,#27,#2,#1
4.387,1224,2277.068,15.278,dr11,PE,#27,#27,#2,#1
4.398,3518,1818.009,19.271,dr10,PE,#27,#24,#3,#1
4.402,3408,2530.169,13.718,dr9,PE,#27,#23,#2,#1
4.443,3834,2442.103,14.223,dr9,PE,#27,#25,#2,#1
4.525,2629,2583.425,13.430,dr10,PE,#27,#23,#3,#1
4.541,1587,1968.693,17.744,dr9,PCp,#27,#25,#2,#1
4.551,4281,1909.918,18.309,dr8,PE,#27,#23,#3,#1
4.576,2557,2036.588,17.134,dr11,PE,#27,#25,#2,#1
4.578,4376,2485.451,13.969,dr8,PE,#27,#27,#3,#1
4.585,744,2350.226,14.791,dr11,PE,#27,#26,#2,#1
4.630,2126,2512.948,13.814,dr10,PE,#27,#27,#3,#1
4.641,3126,2080.577,16.761,dr8,PCp,#27,#23,#3,#1
4.651,3169,1797.611,19.498,dr9,PE,#27,#25,#2,#1
4.660,2700,2392.086,14.526,dr8,PE,#27,#26,#3,#1
4.720,3245,1837.495,19.058,dr10,PE,#27,#25,#3,#1
4.749,4159,2146.466,16.232,dr10,PE,#27,#24,#3,#1
4.791,1331,2607.870,13.301,dr11,PE,#27,#27,#2,#1
4.812,2584,1968.864,17.743,dr11,PE,#27,#27,#2,#1
4.820,4201,2145.797,16.237,dr11,PE,#27,#24,#2,#1
4.840,1212,2427.489,14.310,dr8,PCp,#27,#24,#3,#1
4.856,677,2414.985,14.386,dr10,PE,#27,#26,#3,#1
4.858,2062,2576.036,13.469,dr11,PE,#27,#27,#2,#1
4.876,3014,2702.586,12.827,dr10,PE,#27,#26,#3,#1
4.879,3839,2362.981,14.709,dr8,PCh,#27,#24,#3,#1
4.951,1679,2437.842,14.248,dr9,PE,#27,#23,#2,#1
4.953,3826,1856.035,18.861,dr11,PE,#27,#25,#2,#1
4.967,4486,2041.082,17.095,dr10,PE,#27,#23,#3,#1
4.980,377,2526.501,13.738,dr8,PE,#27,#24,#3,#1
5.068,3630,2398.067,14.489,dr9,PCp,#27,#20,#2,#1
5.069,808,2461.261,14.110,dr10,PE,#27,#27,#3,#1
5.073,4235,1843.213,18.997,dr10,PCp,#27,#23,#3,#1
5.083,2897,2062.552,16.912,dr10,PE,#27,#25,#3,#1
5.095,4253,2257.613,15.413,dr10,PE,#27,#26,#3,#1
5.137,2291,2454.261,14.151,dr10,PE,#27,#24,#3,#1
5.160,221,1973.220,17.702,dr11,PCp,#27,#23,#2,#1
5.171,3070,1694.425,20.738,dr9,PE,#27,#22,#2,#1
5.186,1860,2366.080,14.690,dr11,PE,#27,#22,#2,#1
5.216,4480,2011.295,17.356,dr9,PCh,#27,#23,#2,#1
5.263,376,1844.696,18.981,dr10,PE,#27,#26,#3,#1
5.271,1464,2404.283,14.451,dr8,PCp,#27,#23,#3,#1
5.277,2012,2587.465,13.408,dr8,PCp,#27,#22,#3,#1
5.280,3348,2172.838,16.030,dr11,PE,#27,#25,#2,#1
5.282,1202,2631.424,13.180,dr10,PE,#27,#26,#3,#1
5.284,85,2020.057,17.279,dr9,PCh,#27,#24,#2,#1
5.314,1220,2424.897,14.326,dr8,PE,#27,#25,#3,#1
5.366,3164,2563.592,13.535,dr8,PCp,#27,#23,#3,#1
5.390,2898,2543.137,13.646,dr9,PCp,#27,#25,#2,#1
5.435,1021,1846.437,18.963,dr10,PE,#27,#24,#3,#1
5.436,3147,2221.688,15.668,dr9,PE,#27,#23,#2,#1
5.470,1973,2044.465,17.066,dr10,PCp,#27,#23,#3,#1
5.498,3005,1919.509,18.215,dr8,PCp,#27,#18,#3,#1
5.559,1109,2492.846,13.927,dr8,PE,#27,#24,#3,#1
5.593,3800,2498.658,13.894,dr8,PCh,#27,#24,#3,#1
5.618,552,2494.663,13.917,dr10,PE,#27,#22,#3,#1
5.626,41,2004.529,17.417,dr11,PE,#27,#24,#2,#1
5.666,3918,1966.033,17.769,dr9,PE,#27,#23,#2,#1
5.666,1619,1755.687,19.983,dr10,PE,#27,#24,#3,#1
5.669,2768,2294.305,15.160,dr10,PE,#27,#26,#3,#1
5.697,3220,2534.653,13.693,dr11,PE,#27,#26,#2,#1
5.715,4257,1893.199,18.477,dr10,PE,#27,#22,#3,#1
5.733,327,2165.061,16.089,dr11,PE,#27,#25,#2,#1
5.775,2812,2413.380,14.396,dr10,PE,#27,#24,#3,#1
5.778,4059,2320.400,14.986,dr11,PE,#27,#26,#2,#1
5.796,4483,1836.516,19.069,dr10,PE,#27,#25,#3,#1
5.815,2028,2284.600,15.226,dr9,PE,#27,#24,#2,#1
5.821,4431,1721.407,20.399,dr10,PE,#27,#24,#3,#1
5.830,2622,2416.591,14.376,dr8,PE,#27,#25,#3,#1
5.833,827,1842.855,19.001,dr11,PE,#27,#23,#2,#1
5.853,3558,2439.815,14.236,dr10,PE,#27,#27,#3,#1
5.863,3548,2048.428,17.032,dr9,PE,#27,#24,#2,#1
5.879,2049,2370.381,14.662,dr9,PE,#27,#22,#2,#1
5.880,3192,2540.270,13.662,dr10,PE,#27,#25,#3,#1
5.905,2223,1898.936,18.419,dr10,PE,#27,#22,#3,#1
5.927,4408,2095.234,16.640,dr9,PCh,#27,#24,#2,#1
5.944,1848,2172.838,16.030,dr11,PE,#27,#24,#2,#1
5.975,3253,2046.854,17.046,dr8,PCp,#27,#22,#3,#1
5.989,3677,2408.041,14.428,dr10,PE,#27,#27,#3,#1
6.038,2033,1935.240,18.062,dr8,PCp,#27,#22,#3,#1
6.107,2450,1924.155,18.169,dr11,PE,#27,#24,#2,#1
6.127,3461,2057.590,16.954,dr8,PE,#27,#26,#3,#1
6.128,3607,1889.380,18.516,dr10,PE,#27,#25,#3,#1
6.136,4150,2279.749,15.259,dr10,PE,#27,#25,#3,#1
6.176,2393,2244.164,15.507,dr11,PE,#27,#25,#2,#1
6.202,1792,2350.649,14.788,dr9,PCh,#27,#25,#2,#1
6.215,71,1860.809,18.811,dr9,PE,#27,#21,#2,#1
6.217,1164,2596.934,13.358,dr10,PE,#27,#26,#3,#1
6.237,1111,1907.329,18.335,dr8,PCp,#27,#23,#3,#1
6.264,320,2460.842,14.112,dr9,PE,#27,#24,#2,#1
6.269,3602,2168.797,16.060,dr11,PE,#27,#24,#2,#1
6.279,2011,2223.638,15.654,dr11,PE,#27,#25,#2,#1
6.319,171,2295.197,15.154,dr9,PE,#27,#20,#2,#1
6.323,1901,2406.209,14.439,dr11,PE,#27,#26,#2,#1
6.363,1803,2748.813,12.608,dr8,PE,#27,#25,#3,#1
6.400,3175,2530.805,13.714,dr9,PE,#27,#24,#2,#1
6.401,2213,2202.983,15.805,dr8,PE,#27,#25,#3,#1
6.420,2265,2370.340,14.663,dr8,PCh,#27,#21,#3,#1
6.440,3421,2132.639,16.340,dr11,PE,#27,#26,#2,#1
6.487,49,1996.301,17.491,dr9,PCh,#27,#20,#2,#1
6.497,4491,2391.889,14.528,dr9,PE,#27,#23,#2,#1
6.514,3040,2433.013,14.277,dr10,PCp,#27,#25,#3,#1
6.517,4401,1719.029,20.428,dr10,PE,#27,#24,#3,#1
6.615,3868,2294.454,15.159,dr9,PCp,#27,#21,#2,#1
6.629,888,2268.939,15.334,dr11,PE,#27,#25,#2,#1
6.631,50,2596.215,13.362,dr8,PCh,#27,#24,#3,#1
6.751,1502,1966.436,17.765,dr11,PE,#27,#25,#2,#1
6.752,1076,2191.312,15.891,dr11,PE,#27,#25,#2,#1
6.782,3610,2491.958,13.932,dr8,PE,#27,#24,#3,#1
6.786,1274,2548.646,13.616,dr10,PE,#27,#27,#3,#1
6.823,663,1863.027,18.787,dr10,PE,#27,#24,#3,#1
6.849,3488,2613.562,13.272,dr10,PE,#27,#26,#3,#1
6.891,1833,2357.118,14.747,dr9,PE,#27,#23,#2,#1
6.898,2894,1850.672,18.918,dr10,PE,#27,#26,#3,#1
6.935,3299,2251.793,15.453,dr9,PCh,#27,#24,#2,#1
6.948,562,2562.124,13.543,dr9,PCp,#27,#24,#2,#1
6.966,3485,1978.750,17.651,dr10,PCh,#27,#26,#3,#1
6.966,2121,1885.212,18.558,dr10,PE,#27,#26,#3,#1
6.969,1030,1989.366,17.554,dr8,PE,#27,#26,#3,#1
7.071,2177,2394.155,14.514,dr8,PE,#27,#27,#3,#1
7.099,1931,2193.782,15.873,dr11,PCh,#27,#25,#2,#1
7.105,1623,1908.902,18.320,dr9,PE,#27,#25,#2,#1
7.131,3002,1959.855,17.827,dr10,PE,#27,#25,#3,#1
7.145,2383,2198.068,15.841,dr10,PE,#27,#21,#3,#1
7.215,928,2560.698,13.551,dr11,PE,#27,#26,#2,#1
7.234,2281,1873.442,18.679,dr11,PE,#27,#26,#2,#1
7.235,938,2110.870,16.514,dr8,PE,#27,#23,#3,#1
7.253,3298,2262.873,15.376,dr10,PE,#27,#27,#3,#1
7.321,723,1885.402,18.556,dr8,PE,#27,#22,#3,#1
7.349,742,1746.045,20.098,dr11,PE,#27,#25,#2,#1
7.352,452,2723.455,12.727,dr10,PE,#27,#26,#3,#1
7.353,3064,2076.030,16.799,dr11,PCh,#27,#27,#2,#1
7.390,1,1854.528,18.877,dr11,PE,#27,#25,#2,#1
7.419,727,2360.875,14.723,dr11,PE,#27,#25,#2,#1
7.436,1443,2457.211,14.133,dr9,PE,#27,#22,#2,#1
7.468,4051,2572.017,13.490,dr8,PCp,#27,#24,#3,#1
7.482,1926,2437.812,14.248,dr11,PE,#27,#26,#2,#1
7.513,3252,1997.199,17.483,dr10,PE,#27,#25,#3,#1
7.518,1075,1923.455,18.176,dr9,PCh,#27,#25,#2,#1
7.544,3763,2148.151,16.219,dr10,PE,#27,#27,#3,#1
7.579,3359,2329.487,14.926,dr9,PE,#27,#21,#2,#1
7.606,1687,2284.677,15.226,dr11,PE,#27,#27,#2,#1
7.636,3593,2512.303,13.817,dr10,PE,#27,#27,#3,#1
7.644,1640,2198.537,15.837,dr10,PE,#27,#25,#3,#1
7.650,1282,2472.112,14.046,dr8,PE,#27,#24,#3,#1
7.691,4322,2276.486,15.282,dr11,PE,#27,#25,#2,#1
7.715,1341,1847.760,18.948,dr8,PCp,#27,#22,#3,#1
7.719,1152,2180.742,15.970,dr10,PE,#27,#25,#3,#1
7.728,3470,1839.591,19.036,dr10,PE,#27,#23,#3,#1
7.750,1323,2220.105,15.680,dr11,PE,#27,#27,#2,#1
7.780,4489,2718.881,12.749,dr8,PCp,#27,#24,#3,#1
7.818,3276,1963.979,17.788,dr11,PE,#27,#26,#2,#1
7.819,186,2577.669,13.460,dr11,PE,#27,#25,#2,#1
7.826,719,2394.907,14.509,dr11,PE,#27,#26,#2,#1
7.888,118,2257.929,15.410,dr8,PCp,#27,#19,#3,#1
7.907,3988,2337.519,14.873,dr11,PE,#27,#25,#2,#1
7.932,1960,1885.491,18.555,dr8,PCp,#27,#23,#3,#1
7.940,1019,1677.373,20.959,dr9,PE,#27,#23,#2,#1
8.000,1677,1896.048,18.448,dr9,PE,#27,#23,#2,#1
8.047,4038,1708.601,20.559,dr9,PE,#27,#26,#2,#1
8.074,3440,2541.491,13.655,dr9,PE,#27,#21,#2,#1
8.074,2589,1791.801,19.564,dr8,PCp,#27,#23,#3,#1
8.141,3340,2409.379,14.420,dr10,PE,#27,#26,#3,#1
8.163,264,2570.176,13.500,dr10,PE,#27,#24,#3,#1
8.167,3280,2233.060,15.586,dr9,PE,#27,#23,#2,#1
8.205,4241,1732.436,20.263,dr8,PCp,#27,#23,#3,#1
8.245,1736,2595.227,13.367,dr11,PE,#27,#26,#2,#1
8.265,4444,1797.525,19.499,dr9,PE,#27,#23,#2,#1
8.265,1246,2328.323,14.933,dr8,PE,#27,#23,#3,#1
8.285,3490,1770.478,19.809,dr10,PE,#27,#24,#3,#1
8.311,1954,2115.766,16.474,dr10,PE,#27,#25,#3,#1
8.332,3951,2143.215,16.257,dr10,PE,#27,#26,#3,#1
8.335,2113,2454.553,14.149,dr11,PE,#27,#26,#2,#1
8.410,2786,2531.323,13.711,dr8,PE,#27,#25,#3,#1
8.441,4065,2342.134,14.843,dr9,PE,#27,#25,#2,#1
8.462,4154,1696.735,20.709,dr9,PE,#27,#25,#2,#1
8.493,1898,1797.906,19.495,dr8,PE,#27,#24,#3,#1
8.548,2814,2232.494,15.590,dr8,PE,#27,#25,#3,#1
8.568,857,2536.637,13.682,dr10,PE,#27,#24,#3,#1
8.708,2969,1649.959,21.324,dr8,PE,#27,#26,#3,#1
8.724,2986,2014.236,17.330,dr11,PE,#27,#27,#2,#1
8.803,1744,1788.599,19.600,dr9,PE,#27,#26,#2,#1
8.841,2467,2524.265,13.750,dr10,PCp,#27,#25,#3,#1
8.846,523,2141.617,16.270,dr10,PE,#27,#27,#3,#1
8.900,3907,2293.419,15.166,dr9,PE,#27,#26,#2,#1
8.916,1147,1947.573,17.943,dr8,PCp,#27,#21,#3,#1
8.917,2356,1811.580,19.342,dr11,PE,#27,#25,#2,#1
8.948,1843,2013.115,17.340,dr9,PE,#27,#22,#2,#1
8.954,2505,1724.755,20.357,dr8,PE,#27,#24,#3,#1
9.008,1942,2400.416,14.475,dr11,PE,#27,#27,#2,#1
9.037,1373,2711.959,12.782,dr10,PE,#27,#24,#3,#1
9.041,232,1893.246,18.477,dr10,PE,#27,#26,#3,#1
9.042,2512,1755.027,19.991,dr8,PE,#27,#27,#3,#1
9.046,1805,2072.355,16.830,dr9,PCp,#27,#23,#2,#0
9.066,2419,2691.841,12.879,dr10,PE,#27,#26,#3,#1
9.102,2241,1947.302,17.946,dr8,PE,#27,#24,#3,#1
9.104,1684,2372.012,14.652,dr9,PE,#27,#22,#2,#1
9.122,1225,2127.350,16.382,dr9,PE,#27,#26,#2,#1
9.138,1182,2376.137,14.626,dr9,PE,#27,#25,#2,#1
9.143,2794,2338.079,14.870,dr10,PCp,#27,#25,#3,#1
9.178,1707,2099.468,16.606,dr8,PCp,#27,#21,#3,#1
9.192,3174,1786.569,19.624,dr10,PE,#27,#27,#3,#1
9.228,2147,2545.123,13.636,dr8,PE,#27,#24,#3,#1
9.266,4160,1964.871,17.780,dr8,PE,#27,#22,#3,#1
9.302,3943,1821.233,19.235,dr11,PE,#27,#26,#2,#1
9.324,3281,2270.404,15.324,dr8,PE,#27,#22,#3,#1
9.331,2403,1936.621,18.048,dr8,PE,#27,#23,#3,#1
9.364,491,1916.775,18.242,dr11,PE,#27,#25,#2,#1
9.458,2535,2034.897,17.149,dr9,PE,#27,#24,#2,#1
9.484,3107,2126.376,16.390,dr10,PE,#27,#26,#3,#1
9.502,768,2458.369,14.127,dr9,PE,#27,#24,#2,#1
9.518,1807,2085.963,16.717,dr11,PE,#27,#26,#2,#1
9.521,2783,2089.786,16.685,dr9,PE,#27,#22,#2,#1
9.522,3561,2611.310,13.284,dr10,PE,#27,#26,#3,#1
9.572,3024,2506.732,13.849,dr8,PE,#27,#23,#3,#1
9.574,2191,2419.551,14.358,dr8,PE,#27,#26,#3,#1
9.693,445,2184.252,15.944,dr9,PCh,#27,#23,#2,#0
9.704,3897,1755.056,19.991,dr8,PE,#27,#26,#3,#1
9.832,1122,2388.780,14.547,dr8,PE,#27,#23,#3,#1
9.863,4417,2212.490,15.735,dr8,PCp,#27,#21,#3,#1
9.880,513,2310.957,15.048,dr8,PCp,#27,#19,#3,#1
9.894,1508,2031.418,17.179,dr9,PCp,#27,#23,#2,#1
9.896,84,2467.993,14.070,dr8,PE,#27,#23,#3,#1
9.910,2805,2531.307,13.711,dr8,PE,#27,#24,#3,#1
9.975,1229,2517.223,13.790,dr10,PE,#27,#26,#3,#1
9.981,1823,2062.969,16.908,dr9,PCh,#27,#25,#2,#1
10.016,3704,2480.848,13.996,dr11,PE,#27,#26,#2,#1
10.030,1311,1759.378,19.940,dr10,PE,#27,#25,#3,#1
10.033,2645,1942.049,17.996,dr9,PCh,#27,#24,#2,#1
10.040,789,2189.473,15.905,dr9,PE,#27,#24,#2,#1
10.053,2965,2026.604,17.221,dr10,PE,#27,#24,#3,#1
10.081,313,2174.185,16.020,dr9,PE,#27,#25,#2,#1
10.085,1463,2205.706,15.785,dr8,PCp,#27,#21,#3,#1
10.104,2877,2293.277,15.167,dr8,PE,#27,#25,#3,#1
10.119,4080,1894.534,18.464,dr9,PE,#27,#25,#2,#1
10.125,3793,1807.508,19.387,dr10,PE,#27,#25,#3,#1
10.127,3210,1748.799,20.065,dr9,PE,#27,#22,#2,#1
10.157,306,1779.043,19.710,dr11,PE,#27,#27,#2,#1
10.177,4298,1653.189,21.281,dr9,PE,#27,#19,#2,#1
10.191,3911,2089.953,16.684,dr8,PCp,#27,#22,#3,#1
10.232,474,2040.455,17.101,dr8,PCp,#27,#24,#3,#1
10.268,521,1950.569,17.915,dr8,PE,#27,#25,#3,#1
10.383,4167,2321.762,14.977,dr11,PE,#27,#26,#2,#1
10.414,1327,2161.154,16.119,dr11,PE,#27,#26,#2,#1
10.420,1042,1964.042,17.788,dr9,PE,#27,#24,#2,#1
10.490,3425,2217.915,15.695,dr10,PE,#27,#25,#3,#1
10.571,3586,2290.147,15.188,dr10,PE,#27,#24,#3,#1
10.571,4438,2520.506,13.771,dr11,PE,#27,#26,#2,#1
10.586,1654,2326.936,14.943,dr10,PE,#27,#24,#3,#1
10.588,162,2529.438,13.722,dr8,PE,#27,#25,#3,#1
10.599,3023,2520.224,13.773,dr10,PE,#27,#25,#3,#1
10.607,1123,2417.982,14.368,dr9,PCp,#27,#25,#2,#1
10.612,2166,2375.694,14.629,dr11,PE,#27,#24,#2,#1
10.613,2577,1734.357,20.240,dr11,PE,#27,#27,#2,#1
10.613,553,1820.744,19.241,dr10,PE,#27,#25,#3,#1
10.642,1943,1943.598,17.981,dr8,PE,#27,#24,#3,#1
10.648,2257,2134.297,16.327,dr8,PCp,#27,#22,#3,#1
10.701,3314,2318.414,14.999,dr9,PE,#27,#24,#2,#1
10.739,4242,2006.256,17.401,dr11,PE,#27,#26,#2,#1
10.764,2151,1886.924,18.541,dr11,PE,#27,#26,#2,#1
